Hello,Hello World!
who are you?,I am a Chatbot.
I like you.,I don't have a response for that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=I like you.'>I like you.</a>
what is the time?,The time is now 10:38 AM EST
time?,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=time?'>time?</a>
time check,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=time check'>time check</a>
what time is it now,The time is now 10:39 AM EST
what time,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=what time'>what time</a>
tell me the time,The time is now 10:39 AM EST
can you create a python program?,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=can you create a python program?'>can you create a python program?</a>
im hungry,I will have to give that some thought.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=im hungry'>im hungry</a>
what the hell?,I don't have a response for that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=what the hell?'>what the hell?</a>
Hello,Hello World!
hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
test,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=test'>test</a>
as;ldfja;sldkfj;askldfj,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=as;ldfja;sldkfj;askldfj'>as;ldfja;sldkfj;askldfj</a>
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
test,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=test'>test</a>
Hello,Hello World!
asdf,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=asdf'>asdf</a>
adf,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=adf'>adf</a>
adsf,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=adsf'>adsf</a>
asdf,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=asdf'>asdf</a>
asdf,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=asdf'>asdf</a>
Hello,Hello World!
asd,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=asd'>asd</a>
